;;;;;   ;REDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;DATA DA OPERAÇÃO :;;;30/11/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;ABATIMENTO;;;;;;;;;;;DESCONTO COMERCIAL;;;DEVOLUÇÃO;;;;;;;;;;;;;;;;;;;;;
FILIAL;Loja;Código;Nota Fiscal;;;;Desconto;;Acordo;;Diferença Preço;;Diverso;Jrs.Antecipação;;Total;;% Desc Cf Contrato;Diferença;;Pendente no Sap;Fatura;;;;;;;;;;;;;;;;;;;;
;;;Nº;Tip;Sit;Valor;Valor;%;Valor;%;Valor;%;Valor;Valor;%;Valor;%;;%;Valor;;%;;;;;;;;;;;;;;;;;;;;
1003;ATAC47;319662;000529762-2;ZVDV;S;8.400,00;84,00;1,00;0,00;0,00;0,00;0,00;0,00;138,60;1,65;222,60;2,65;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC47;319662;1485130;;N;-9,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC47;319662;1485124;;N;-15,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC51;319662;000529756-2;ZVDV;S;620,00;6,20;1,00;0,00;0,00;0,00;0,00;0,00;13,09;2,11;19,29;3,11;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC51;319662;1215376;;N;-71,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC55;319662;000529767-2;ZVDV;S;1.240,00;12,40;1,00;0,00;0,00;0,00;0,00;0,00;26,19;2,11;38,59;3,11;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC55;319662;1345915;;N;-64,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC62;319662;000529757-2;ZVDV;S;620,00;6,20;1,00;0,00;0,00;0,00;0,00;0,00;11,75;1,90;17,95;2,90;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC62;319662;886415;;N;-62,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC74;319662;625738;;N;-16,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC74;319662;625899;;N;-1,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC74;319662;626136;;N;-842,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC74;319662;626157;;N;-1,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC87;319662;000529861-2;ZVDV;S;34.417,50;344,18;1,00;0,00;0,00;0,00;0,00;0,00;817,76;2,38;1.161,94;3,38;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC87;319662;2325044;;N;-2.621,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC89;319662;000529781-2;ZVDV;S;620,00;6,20;1,00;0,00;0,00;0,00;0,00;0,00;11,46;1,85;17,66;2,85;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1003;ATAC89;319662;416648;;N;-7,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
PE01;; ;342002;CC;*;141.320,89;1.450,88;1,03;0,00;0,00;0,00;0,00;0,00;3.501,25;2,48;4.952,13;3,50;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1004;ATAC173;319662;86724;;N;-192,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1004;ATAC80;319662;000528895-2;ZVDF;S;5.100,00;51,00;1,00;0,00;0,00;0,00;0,00;0,00;84,15;1,65;135,15;2,65;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
1004;ATAC80;319662;000528896-2;ZVDF;S;17.781,50;177,81;1,00;0,00;0,00;0,00;0,00;0,00;457,68;2,57;635,49;3,57;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
CE01;; ;342001;CC;*;22.688,76;228,81;1,01;0,00;0,00;0,00;0,00;0,00;541,83;2,39;770,64;3,40;;;;;0,00%;;;;;;;;;;;;;;;;;;;;
